,Rx Buffer Time (sec),Rx ADC Buffer Values
66,2.0845630168914795,187.0
67,2.115762233734131,183.0
68,2.147099256515503,179.0
69,2.1782002449035645,129.0
70,2.2094361782073975,189.0
71,2.2405922412872314,207.0
72,2.2718400955200195,125.0
73,2.3030741214752197,95.0
74,2.3342502117156982,201.0
75,2.3655009269714355,131.0
76,2.396698236465454,159.0
77,2.427955150604248,129.0
78,2.4591832160949707,168.0
79,2.4903039932250977,152.0
80,2.521538257598877,125.0
81,2.552783250808716,91.0
82,2.5840821266174316,53.0
83,2.615236282348633,38.0
84,2.645634174346924,0.0
85,2.676084041595459,0.0
86,2.7064592838287354,0.0
87,2.7368593215942383,0.0
88,2.7673211097717285,0.0
89,2.7977232933044434,0.0
90,2.8281259536743164,0.0
91,2.858574151992798,0.0
92,2.8890209197998047,0.0
93,2.9192562103271484,0.0
94,2.9497082233428955,0.0
95,2.980402946472168,0.0
96,3.010540246963501,0.0
97,3.041091203689575,0.0
98,3.0713751316070557,0.0
99,3.101818323135376,0.0
100,3.1322083473205566,0.0
101,3.162564277648926,0.0
102,3.193092107772827,0.0
103,3.2234880924224854,0.0
104,3.2538912296295166,0.0
105,3.284248113632202,0.0
106,3.3147289752960205,0.0
107,3.3451311588287354,0.0
108,3.3755152225494385,0.0
109,3.405992031097412,0.0
110,3.4363291263580322,0.0
111,3.466794013977051,0.0
112,3.4972341060638428,0.0
113,3.5276191234588623,0.0
114,3.558089017868042,0.0
115,3.5884270668029785,0.0
116,3.6188411712646484,0.0
117,3.649280071258545,0.0
118,3.6796841621398926,0.0
119,3.7101192474365234,0.0
120,3.7405030727386475,0.0
121,3.7709319591522217,0.0
122,3.8013319969177246,0.0
123,3.8317933082580566,0.0
124,3.8621561527252197,0.0
125,3.8925302028656006,0.0
126,3.923023223876953,0.0
127,3.953390121459961,0.0
128,3.983715295791626,0.0
129,4.014177083969116,0.0
130,4.044661045074463,0.0
131,4.075103044509888,0.0
132,4.105558156967163,0.0
133,4.135854244232178,0.0
134,4.16628623008728,0.0
135,4.196707248687744,0.0
136,4.22713303565979,0.0
137,4.257527112960815,0.0
138,4.287970066070557,0.0
139,4.318356037139893,0.0
140,4.348771095275879,0.0
141,4.379201173782349,0.0
142,4.409623146057129,0.0
143,4.440132141113281,0.0
144,4.470438241958618,0.0
145,4.501737117767334,10.0
146,4.532982110977173,9.0
147,4.564218282699585,55.0
148,4.595458269119263,74.0
149,4.626715183258057,91.0
150,4.658010244369507,91.0
151,4.6892030239105225,129.0
152,4.720390319824219,155.0
153,4.7515950202941895,195.0
154,4.782783031463623,207.0
155,4.81412410736084,243.0
156,4.845215082168579,217.0
157,4.876418113708496,229.0
158,4.907620191574097,211.0
159,4.938849210739136,240.0
160,4.970095157623291,361.0
161,5.001174211502075,371.0
162,5.032337188720703,377.0
163,5.063492298126221,383.0
164,5.094723224639893,385.0
165,5.125951051712036,379.0
166,5.157111167907715,293.0
167,5.188289165496826,299.0
168,5.219457149505615,311.0
169,5.250663995742798,353.0
170,5.281817197799683,401.0
171,5.313046216964722,425.0
172,5.344194173812866,451.0
173,5.375347137451172,352.0
174,5.40652322769165,363.0
175,5.437723159790039,489.0
176,5.46891713142395,483.0
177,5.5001442432403564,475.0
178,5.531232118606567,497.0
179,5.562432050704956,545.0
180,5.59364914894104,577.0
